name,price,brand,specs,company,reviewID,score
Sparx  neo,69999.0,Infinix,"30 Pro , 8GB",Infinix,164,5.0
Infinix  Zero,649999.0,No Brand,15 Pro Max 5G,Apple,165,
vivo y83,21299.0,No Brand,5 plus 3GB Ram,Sparx,166,4.5
Tecno  Spark,75000.0,No Brand,30 4G RAM 8,Infinix,167,
Tecno  Spark,15999.0,No Brand,4GB 64GB Dual Sim,vivo,168,
Itel S23  ,30499.0,No Brand,"10C , 4GB +",Tecno,169,4.5
Tecno  Spark,37999.0,No Brand,10 Pro RAM 8,Tecno,170,4.8
Xiaomi  Poco,32999.0,No Brand,", 8GB RAM 256GB",Itel,171,1.0
Tecno  Camon,39999.0,Tecno,10 Pro || 8GB,Tecno,172,4.6
Infinix  Note,110999.0,No Brand,X5 Pro 5G ||,Xiaomi,173,5.0
Redmi  Note,47999.0,Tecno,"20 , 8GB RAM",Tecno,174,5.0
INFINIX  NOTE,63899.0,Infinix,30 Pro - 6.67,Infinix,175,5.0
Xiaomi  Redmi,88999.0,Redmi,12 Pro - 8GB,Redmi,176,4.8
Tecno  Spark,47499.0,Infinix,30 - 8GB+8GB =16GB,INFINIX,177,4.8
Samsung  Galaxy,95000.0,Redmi,Note 12 Pro RAM,Xiaomi,178,5.0
Sparx  Neo,25999.0,Tecno,"Go 2023 , 4GB",Tecno,179,4.7
Infinix  Note,139999.0,Samsung,A54 5G || 8GB+8GB,Samsung,180,5.0
Vivo Y17s  ,34999.0,No Brand,7 Ultra 128GB ROM,Sparx,181,
Xiaomi 13T ||,47980.0,No Brand,30 RAM 8 GB,Infinix,182,4.9
Redmi  A2,45999.0,No Brand,", 6GB Ram 128GB",Vivo,183,
Xiaomi  Poco,169999.0,Redmi,|| 12GB Ram 256GB,Xiaomi,184,
Redmi  Note,22499.0,No Brand,"Plus , 3GB Ram",Redmi,185,5.0
Vgotel  New,109999.0,Redmi,X5 Pro 5G ||,Xiaomi,186,
Infinix  Hot,61499.0,Redmi,12 || 8GB Ram,Redmi,187,4.4
Redmi  Note,16999.0,VGOTEL,12 - 2GB RAM,Vgotel,188,
Infinix  Hot,31999.0,Infinix,"30 Play , 4GB",Infinix,189,5.0
HONOR  X6,51299.0,Redmi,"12 - 6.67"" Inch",Redmi,190,4.1
Infinix  Smart,29899.0,Infinix,"30 Play - 6.82""",Infinix,191,4.5
Tecno  Camon,32499.0,Honor,"Mobile Phone, 6.5 Inch",HONOR,192,4.8
itel  S23,25999.0,No Brand,7 || 4GB +,Infinix,193,4.8
Realme C33  ,46999.0,Tecno,20 - 8GB+8GB Ram,Tecno,194,5.0
INFINIX SMART 7,30999.0,itel,6.6″ HD+ Display |,itel,195,4.6
Infinix  Hot,30999.0,Realme,", 4GB RAM 64GB",Realme,196,4.4
Realme C51 RAM,25399.0,No Brand,7 4GB RAM 64GB,INFINIX,197,5.0
Xiaomi 13T Pro,29980.0,No Brand,30 Play RAM 4,Infinix,198,4.7
samsang Note 8,34990.0,No Brand,RAM 4GB ROM 64GB,Realme,199,
Infinix smart,227999.0,Xiaomi,Pro (12GB-512GB) PTA Approved,Xiaomi,200,5.0
