name,price,brand,specs,company,reviewID,score
"['Xiaomi', 'Redmi']","Rs. 27,999",Redmi,4GB Ram 5000mAh Battery,Redmi,137,4.5
Tecno Camon 20,"Rs. 19,990",Redmi,"Plus - 6.52"" Inch",Redmi,138,4.7
"['Infinix', 'Note']","Rs. 38,999",Redmi,"12 , 4GB RAM",Xiaomi,139,5.0
-,"Rs. 47,999",No Brand,20 8GB Ram 256GB,Tecno,140,5.0
itel S23 ||,"Rs. 62,989",No Brand,30 Pro 8GB Ram,Infinix,141,-
"['Tecno', 'Camon']",-,no brand,-,-,142,-
"['Infinix', 'Note']","Rs. 33,999",itel,|| 8GB+8GB Ram 256GB,itel,143,4.9
Itel S23 -,"Rs. 46,500",No Brand,20 || 8GB ROM,Tecno,144,5.0
Samsung Galaxy A04,"Rs. 62,999",No Brand,30 Pro || 8GB,Infinix,145,5.0
"['Redmi', '12']","Rs. 32,500",No Brand,- 8GB Ram -,Itel,146,-
"Redmi 12C,","Rs. 34,499",Samsung,A04 4GB - 64GB,Samsung,147,4.7
"['Infinix', 'Note']","Rs. 43,950",Redmi,"- 6.79"" Inch Display",Redmi,148,4.8
"['Tecno', 'Spark']","Rs. 28,999",Redmi,4GB RAM 128GB ROM,Redmi,149,4.5
"['Realme', 'Narzo']","Rs. 64,999",No Brand,"30 Pro , 8GB",Infinix,150,5.0
itel P17 Pro,"Rs. 37,999",Tecno,"10 Pro , 8GB",Tecno,151,4.7
Infinix Note 30,"Rs. 30,590",Realme,"50A Prime - 6.6""",Realme,152,4.8
"['Xiaomi', 'Redmi']","Rs. 14,500",No Brand,Pro 2GB RAM 32GB,itel,153,4.8
"['Xiaomi', 'Poco']","Rs. 46,697",No Brand,30 8GB Ram 256GB,Infinix,154,5.0
"['VGOTEL', 'New']","Rs. 54,999",Redmi,Note 12 - 8GB,Xiaomi,155,4.5
A04E 3/32,"Rs. 110,750",Xiaomi,"X5 Pro - 6.67""",Xiaomi,156,5.0
-,"Rs. 22,999",VGOTEL,22 || 4+3 GB,VGOTEL,157,4.8
"['Infinix', 'Note']","Rs. 27,999",Samsung,GB,A04E,158,4.8
"['Xiaomi', 'Redmi']",-,no brand,-,-,159,-
"['Samsung', 'A54']","Rs. 62,900",No Brand,30 Pro || 8GB,Infinix,160,-
"['Infinix', 'Hot']","Rs. 43,699",No Brand,"12 , 8GB RAM",Xiaomi,161,5.0
"['Infinix', 'Note']","Rs. 134,999",Samsung,"5G - 6.4"" Inch",Samsung,162,5.0
"['Apple', 'iPhone']","Rs. 30,999",Infinix,"20i - 6.6"" Inch",Infinix,163,4.2
"['Sparx', 'neo']","Rs. 69,999",Infinix,"30 Pro , 8GB",Infinix,164,5.0
"['Infinix', 'Zero']","Rs. 649,999",No Brand,15 Pro Max 5G,Apple,165,-
vivo y83,"Rs. 21,299",No Brand,5 plus 3GB Ram,Sparx,166,4.5
"['Tecno', 'Spark']","Rs. 75,000",No Brand,30 4G RAM 8,Infinix,167,-
